Municipalité,CDNAME,Région
Howick,Le Haut-Saint-Laurent,16
Huntingdon,Le Haut-Saint-Laurent,16
La Présentation,Les Maskoutains,16
Lacolle,Le Haut-Richelieu,16
Marieville,Rouville,16
Massueville,Pierre-De Saurel,16
Mont-Saint-Grégoire,Le Haut-Richelieu,16
Morin-Heights,Les Pays-d'en-Haut,16
Napierville,Les Jardins-de-Napierville,16
Noyan,Le Haut-Richelieu,16
Ormstown,Le Haut-Saint-Laurent,16
Richelieu,Rouville,16
Rougemont,Rouville,16
Roxton,Acton,16
Roxton Falls,Acton,16
Saint-Aimé,Pierre-De Saurel,16
Saint-Alexandre,Le Haut-Richelieu,16
Saint-Anicet,Le Haut-Saint-Laurent,16
Saint-Barnabé-Sud,Les Maskoutains,16
Saint-Bernard-de-Lacolle,Les Jardins-de-Napierville,16
Saint-Bernard-de-Michaudville,Les Maskoutains,16
Saint-Blaise-sur-Richelieu,Le Haut-Richelieu,16
Saint-Chrysostome,Le Haut-Saint-Laurent,16
Saint-Cyprien-de-Napierville,Les Jardins-de-Napierville,16
Saint-Césaire,Rouville,16
Saint-Damase,Les Maskoutains,16
Saint-David,Pierre-De Saurel,16
Saint-Dominique,Les Maskoutains,16
Saint-Georges-de-Clarenceville,Le Haut-Richelieu,16
Saint-Gérard-Majella,Pierre-De Saurel,16
Saint-Hugues,Les Maskoutains,16
Saint-Hyacinthe,Les Maskoutains,16
Saint-Jacques-le-Mineur,Les Jardins-de-Napierville,16
Saint-Jean-sur-Richelieu,Le Haut-Richelieu,16
Saint-Joseph-de-Sorel,Pierre-De Saurel,16
Saint-Jude,Les Maskoutains,16
Saint-Liboire,Les Maskoutains,16
Saint-Louis,Les Maskoutains,16
Saint-Louis-de-Gonzague,Beauharnois-Salaberry,16
Saint-Marcel-de-Richelieu,Les Maskoutains,16
Saint-Mathias-sur-Richelieu,Rouville,16
Saint-Michel,Les Jardins-de-Napierville,16
Saint-Nazaire-d'Acton,Acton,16
Saint-Ours,Pierre-De Saurel,16
Saint-Patrice-de-Sherrington,Les Jardins-de-Napierville,16
Saint-Paul-d'Abbotsford,Rouville,16
Saint-Paul-de-l'Île-aux-Noix,Le Haut-Richelieu,16
Saint-Pie,Les Maskoutains,16
Saint-Robert,Pierre-De Saurel,16
Saint-Roch-de-Richelieu,Pierre-De Saurel,16
Saint-Rémi,Les Jardins-de-Napierville,16
Saint-Simon,Les Maskoutains,16
Saint-Stanislas-de-Kostka,Beauharnois-Salaberry,16
Saint-Sébastien,Le Haut-Richelieu,16
Saint-Théodore-d'Acton,Acton,16
Saint-Urbain-Premier,Beauharnois-Salaberry,16
Saint-Valentin,Le Haut-Richelieu,16
Saint-Valérien-de-Milton,Les Maskoutains,16
Saint-Édouard,Les Jardins-de-Napierville,16
Saint-Étienne-de-Beauharnois,Beauharnois-Salaberry,16
Sainte-Angèle-de-Monnoir,Rouville,16
Sainte-Anne-de-Sabrevois,Le Haut-Richelieu,16
Sainte-Anne-de-Sorel,Pierre-De Saurel,16
Sainte-Barbe,Le Haut-Saint-Laurent,16
Sainte-Brigide-d'Iberville,Le Haut-Richelieu,16
Sainte-Christine,Acton,16
Sainte-Clotilde,Les Jardins-de-Napierville,16
Sainte-Hélène-de-Bagot,Les Maskoutains,16
Sainte-Madeleine,Les Maskoutains,16
Sainte-Marie-Madeleine,Les Maskoutains,16
Sainte-Martine,Beauharnois-Salaberry,16
Sainte-Victoire-de-Sorel,Pierre-De Saurel,16
Salaberry-de-Valleyfield,Beauharnois-Salaberry,16
Sorel-Tracy,Pierre-De Saurel,16
Très-Saint-Sacrement,Le Haut-Saint-Laurent,16
Upton,Acton,16
Venise-en-Québec,Le Haut-Richelieu,16
Yamaska,Pierre-De Saurel,16
