Municipalité,CDNAME,Région,code_rl
Thorne,Pontiac,7.0,
Thurso,Papineau,7.0,
Val-des-Bois,Papineau,7.0,
Val-des-Monts,Les Collines-de-l'Outaouais,7.0,82035
Waltham,Pontiac,7.0,
Amherst,Les Laurentides,15.0,71005
Arundel,Les Laurentides,15.0,71015
Baie-des-Chaloupes,Antoine-Labelle,15.0,87005
Barkmere,Les Laurentides,15.0,71020
Brownsburg-Chatham,Argenteuil,15.0,77011
Brébeuf,Les Laurentides,15.0,71025
Chute-Saint-Philippe,Antoine-Labelle,15.0,87010
Doncaster,Les Laurentides,15.0,71033
Estérel,Les Pays-d'en-Haut,15.0,76008
Ferme-Neuve,Antoine-Labelle,15.0,87015
Gore,Argenteuil,15.0,77012
Grenville,Argenteuil,15.0,77022
Grenville-sur-la-Rouge,Argenteuil,15.0,77030
Harrington,Argenteuil,15.0,77035
Huberdeau,Les Laurentides,15.0,71040
Ivry-sur-le-Lac,Les Laurentides,15.0,71045
Kiamika,Antoine-Labelle,15.0,87020
L'Ascension,Antoine-Labelle,15.0,87025
La Conception,Les Laurentides,15.0,71050
La Macaza,Antoine-Labelle,15.0,87030
La Minerve,Les Laurentides,15.0,71055
Labelle,Les Laurentides,15.0,71060
Lac-Akonapwehikan,Antoine-Labelle,15.0,87035
Lac-Bazinet,Antoine-Labelle,15.0,87042
Lac-De La Bidière,Antoine-Labelle,15.0,87050
Lac-Douaire,Antoine-Labelle,15.0,87058
Lac-Ernest,Antoine-Labelle,15.0,87070
Lac-Marguerite,Antoine-Labelle,15.0,87075
Lac-Oscar,Antoine-Labelle,15.0,87080
Lac-Saguay,Antoine-Labelle,15.0,87085
Lac-Saint-Paul,Antoine-Labelle,15.0,87090
Lac-Supérieur,Les Laurentides,15.0,71065
Lac-Tremblant-Nord,Les Laurentides,15.0,71070
Lac-Wagwabika,Antoine-Labelle,15.0,87095
Lac-de-la-Maison-de-Pierre,Antoine-Labelle,15.0,87100
Lac-de-la-Pomme,Antoine-Labelle,15.0,87105
Lac-des-Seize-Îles,Les Pays-d'en-Haut,15.0,76020
Lac-des-Écorces,Antoine-Labelle,15.0,87110
Lac-du-Cerf,Antoine-Labelle,15.0,87115
Lachute,Argenteuil,15.0,77043
Lantier,Les Laurentides,15.0,71075
Mille-Isles,Argenteuil,15.0,77050
Mont-Blanc,Les Laurentides,15.0,71083
Mont-Laurier,Antoine-Labelle,15.0,87120
Mont-Saint-Michel,Antoine-Labelle,15.0,
Mont-Tremblant,Les Laurentides,15.0,71090
Montcalm,Les Laurentides,15.0,71095
Nominingue,Antoine-Labelle,15.0,
Notre-Dame-de-Pontmain,Antoine-Labelle,15.0,
Notre-Dame-du-Laus,Antoine-Labelle,15.0,
Piedmont,Les Pays-d'en-Haut,15.0,76030
Prévost,La Rivière-du-Nord,15.0,72005
Rivière-Rouge,Antoine-Labelle,15.0,
Saint-Adolphe-d'Howard,Les Pays-d'en-Haut,15.0,76035
Saint-Aimé-du-Lac-des-Îles,Antoine-Labelle,15.0,
Saint-André-d'Argenteuil,Argenteuil,15.0,77055
Saint-Colomban,La Rivière-du-Nord,15.0,72010
Saint-Faustin-Lac-Carré,Les Laurentides,15.0,71100
Saint-Hippolyte,La Rivière-du-Nord,15.0,72015
Saint-Jérôme,La Rivière-du-Nord,15.0,72020
Saint-Sauveur,Les Pays-d'en-Haut,15.0,76043
Sainte-Adèle,Les Pays-d'en-Haut,15.0,76052
Sainte-Agathe-des-Monts,Les Laurentides,15.0,71105
Sainte-Anne-des-Lacs,Les Pays-d'en-Haut,15.0,76055
Sainte-Anne-du-Lac,Antoine-Labelle,15.0,
Sainte-Lucie-des-Laurentides,Les Laurentides,15.0,71110
Sainte-Marguerite-du-Lac-Masson,Les Pays-d'en-Haut,15.0,76065
Sainte-Sophie,La Rivière-du-Nord,15.0,72025
Val-David,Les Laurentides,15.0,71115
Val-Morin,Les Laurentides,15.0,71125
Val-des-Lacs,Les Laurentides,15.0,71133
Wentworth,Argenteuil,15.0,77060
Wentworth-Nord,Les Pays-d'en-Haut,15.0,
Acton Vale,Acton,16.0,54008
Akwesasne,Le Haut-Saint-Laurent,16.0,62007
Akwesasne (partie),Le Haut-Saint-Laurent,16.0,62015
Ange-Gardien,Rouville,16.0,61005
Beauharnois,Beauharnois-Salaberry,16.0,66007
Béthanie,Acton,16.0,54017
Clarenceville,Le Haut-Richelieu,16.0,56005
Dundee,Le Haut-Saint-Laurent,16.0,62020
Elgin,Le Haut-Saint-Laurent,16.0,62025
Franklin,Le Haut-Saint-Laurent,16.0,62030
Godmanchester,Le Haut-Saint-Laurent,16.0,62037
Havelock,Le Haut-Saint-Laurent,16.0,62047
Hemmingford,Les Jardins-de-Napierville,16.0,63005
Henryville,Le Haut-Richelieu,16.0,56010
Hinchinbrooke,Le Haut-Saint-Laurent,16.0,62053
Howick,Le Haut-Saint-Laurent,16.0,62055
Huntingdon,Le Haut-Saint-Laurent,16.0,62060
La Présentation,Les Maskoutains,16.0,85005
Lacolle,Le Haut-Richelieu,16.0,56015
Marieville,Rouville,16.0,61013
Massueville,Pierre-De Saurel,16.0,69005
Mont-Saint-Grégoire,Le Haut-Richelieu,16.0,56023
Morin-Heights,Les Pays-d'en-Haut,16.0,76025
Napierville,Les Jardins-de-Napierville,16.0,63013
Noyan,Le Haut-Richelieu,16.0,56030
Ormstown,Le Haut-Saint-Laurent,16.0,62065
Richelieu,Rouville,16.0,61020
Rougemont,Rouville,16.0,61025
Roxton,Acton,16.0,54025
Roxton Falls,Acton,16.0,54030
Saint-Aimé,Pierre-De Saurel,16.0,69010
Saint-Alexandre,Le Haut-Richelieu,16.0,56035
Saint-Anicet,Le Haut-Saint-Laurent,16.0,62070
Saint-Barnabé-Sud,Les Maskoutains,16.0,85010
Saint-Bernard-de-Lacolle,Les Jardins-de-Napierville,16.0,63023
Saint-Bernard-de-Michaudville,Les Maskoutains,16.0,85015
Saint-Blaise-sur-Richelieu,Le Haut-Richelieu,16.0,56042
Saint-Chrysostome,Le Haut-Saint-Laurent,16.0,62075
Saint-Cyprien-de-Napierville,Les Jardins-de-Napierville,16.0,63030
Saint-Césaire,Rouville,16.0,61027
Saint-Damase,Les Maskoutains,16.0,85020
Saint-David,Pierre-De Saurel,16.0,69017
Saint-Dominique,Les Maskoutains,16.0,85025
Saint-Georges-de-Clarenceville,Le Haut-Richelieu,16.0,56050
Saint-Gérard-Majella,Pierre-De Saurel,16.0,69025
Saint-Hugues,Les Maskoutains,16.0,85030
Saint-Hyacinthe,Les Maskoutains,16.0,85037
Saint-Jacques-le-Mineur,Les Jardins-de-Napierville,16.0,63035
Saint-Jean-sur-Richelieu,Le Haut-Richelieu,16.0,56055
Saint-Joseph-de-Sorel,Pierre-De Saurel,16.0,69030
Saint-Jude,Les Maskoutains,16.0,85045
Saint-Liboire,Les Maskoutains,16.0,85052
Saint-Louis,Les Maskoutains,16.0,85055
Saint-Louis-de-Gonzague,Beauharnois-Salaberry,16.0,66023
Saint-Marcel-de-Richelieu,Les Maskoutains,16.0,85060
Saint-Mathias-sur-Richelieu,Rouville,16.0,61030
Saint-Michel,Les Jardins-de-Napierville,16.0,63040
Saint-Nazaire-d'Acton,Acton,16.0,54035
Saint-Ours,Pierre-De Saurel,16.0,69037
Saint-Patrice-de-Sherrington,Les Jardins-de-Napierville,16.0,63048
Saint-Paul-d'Abbotsford,Rouville,16.0,61035
Saint-Paul-de-l'Île-aux-Noix,Le Haut-Richelieu,16.0,56060
Saint-Pie,Les Maskoutains,16.0,85065
Saint-Robert,Pierre-De Saurel,16.0,69045
Saint-Roch-de-Richelieu,Pierre-De Saurel,16.0,69050
Saint-Rémi,Les Jardins-de-Napierville,16.0,63055
Saint-Simon,Les Maskoutains,16.0,85070
Saint-Stanislas-de-Kostka,Beauharnois-Salaberry,16.0,66032
Saint-Sébastien,Le Haut-Richelieu,16.0,56065
Saint-Théodore-d'Acton,Acton,16.0,54048
Saint-Urbain-Premier,Beauharnois-Salaberry,16.0,66047
Saint-Valentin,Le Haut-Richelieu,16.0,56083
Saint-Valérien-de-Milton,Les Maskoutains,16.0,85075
Saint-Édouard,Les Jardins-de-Napierville,16.0,63060
Saint-Étienne-de-Beauharnois,Beauharnois-Salaberry,16.0,66058
Sainte-Angèle-de-Monnoir,Rouville,16.0,61040
Sainte-Anne-de-Sabrevois,Le Haut-Richelieu,16.0,56097
Sainte-Anne-de-Sorel,Pierre-De Saurel,16.0,69055
Sainte-Barbe,Le Haut-Saint-Laurent,16.0,62080
Sainte-Brigide-d'Iberville,Le Haut-Richelieu,16.0,56105
Sainte-Christine,Acton,16.0,54060
Sainte-Clotilde,Les Jardins-de-Napierville,16.0,63065
Sainte-Hélène-de-Bagot,Les Maskoutains,16.0,85085
Sainte-Madeleine,Les Maskoutains,16.0,85090
Sainte-Marie-Madeleine,Les Maskoutains,16.0,85095
Sainte-Martine,Beauharnois-Salaberry,16.0,66062
Sainte-Victoire-de-Sorel,Pierre-De Saurel,16.0,69060
Salaberry-de-Valleyfield,Beauharnois-Salaberry,16.0,66072
Sorel-Tracy,Pierre-De Saurel,16.0,69065
Très-Saint-Sacrement,Le Haut-Saint-Laurent,16.0,62085
Upton,Acton,16.0,54065
Venise-en-Québec,Le Haut-Richelieu,16.0,
Yamaska,Pierre-De Saurel,16.0,69070
